"group"	"gene"
"Adherens junction"	"81"
"Adherens junction"	"81607"
"Adherens junction"	"83439"
"Adherens junction"	"87"
"Adherens junction"	"88"
"Adherens junction"	"89"
"Adherens junction"	"8936"
"Adherens junction"	"8976"
"Adherens junction"	"9855"
"Adherens junction"	"998"
"Adherens junction"	"999"
"PI3K-Akt signaling pathway"	"1950"
"PI3K-Akt signaling pathway"	"2246"
"PI3K-Akt signaling pathway"	"2247"
"PI3K-Akt signaling pathway"	"2248"
"PI3K-Akt signaling pathway"	"2249"
"PI3K-Akt signaling pathway"	"8822"
"PI3K-Akt signaling pathway"	"2251"
"PI3K-Akt signaling pathway"	"2252"
"PI3K-Akt signaling pathway"	"2253"
"PI3K-Akt signaling pathway"	"2254"
"PI3K-Akt signaling pathway"	"2255"
"PI3K-Akt signaling pathway"	"2256"
"PI3K-Akt signaling pathway"	"2257"
"PI3K-Akt signaling pathway"	"2258"
"PI3K-Akt signaling pathway"	"2259"
"PI3K-Akt signaling pathway"	"8823"
"PI3K-Akt signaling pathway"	"2250"
"PI3K-Akt signaling pathway"	"8817"
"PI3K-Akt signaling pathway"	"9965"
"PI3K-Akt signaling pathway"	"26281"
"PI3K-Akt signaling pathway"	"26291"
"PI3K-Akt signaling pathway"	"27006"
"PI3K-Akt signaling pathway"	"8074"
"PI3K-Akt signaling pathway"	"4803"
"PI3K-Akt signaling pathway"	"3630"
"PI3K-Akt signaling pathway"	"3479"
"PI3K-Akt signaling pathway"	"5154"
"PI3K-Akt signaling pathway"	"5155"
"PI3K-Akt signaling pathway"	"56034"
"PI3K-Akt signaling pathway"	"80310"
"PI3K-Akt signaling pathway"	"1435"
"PI3K-Akt signaling pathway"	"4254"
"PI3K-Akt signaling pathway"	"7422"
"PI3K-Akt signaling pathway"	"7423"
"PI3K-Akt signaling pathway"	"5228"
"PI3K-Akt signaling pathway"	"7424"
"PI3K-Akt signaling pathway"	"2277"
"PI3K-Akt signaling pathway"	"3082"
"PI3K-Akt signaling pathway"	"284"
"PI3K-Akt signaling pathway"	"285"
"PI3K-Akt signaling pathway"	"51378"
"PI3K-Akt signaling pathway"	"1942"
"PI3K-Akt signaling pathway"	"1943"
"PI3K-Akt signaling pathway"	"1944"
"PI3K-Akt signaling pathway"	"1945"
"PI3K-Akt signaling pathway"	"1946"
"PI3K-Akt signaling pathway"	"1956"
"PI3K-Akt signaling pathway"	"2260"
"PI3K-Akt signaling pathway"	"2263"
"PI3K-Akt signaling pathway"	"2261"
"PI3K-Akt signaling pathway"	"2264"
"PI3K-Akt signaling pathway"	"4804"
"PI3K-Akt signaling pathway"	"3643"
"PI3K-Akt signaling pathway"	"3480"
"PI3K-Akt signaling pathway"	"5156"
"PI3K-Akt signaling pathway"	"5159"
"PI3K-Akt signaling pathway"	"1436"
"PI3K-Akt signaling pathway"	"3815"
"PI3K-Akt signaling pathway"	"2321"
"PI3K-Akt signaling pathway"	"2324"
"PI3K-Akt signaling pathway"	"3791"
"PI3K-Akt signaling pathway"	"4233"
"PI3K-Akt signaling pathway"	"7010"
"PI3K-Akt signaling pathway"	"1969"
"PI3K-Akt signaling pathway"	"2885"
"PI3K-Akt signaling pathway"	"6654"
"PI3K-Akt signaling pathway"	"6655"
"PI3K-Akt signaling pathway"	"3265"
"PI3K-Akt signaling pathway"	"3845"
"PI3K-Akt signaling pathway"	"4893"
"PI3K-Akt signaling pathway"	"3667"
"PI3K-Akt signaling pathway"	"7097"
"PI3K-Akt signaling pathway"	"7099"
"PI3K-Akt signaling pathway"	"5879"
"PI3K-Akt signaling pathway"	"102723407"
"PI3K-Akt signaling pathway"	"6850"
"PI3K-Akt signaling pathway"	"930"
"PI3K-Akt signaling pathway"	"118788"
"PI3K-Akt signaling pathway"	"2688"
"PI3K-Akt signaling pathway"	"2689"
"PI3K-Akt signaling pathway"	"1442"
"PI3K-Akt signaling pathway"	"1443"
"PI3K-Akt signaling pathway"	"5617"
"PI3K-Akt signaling pathway"	"5008"
"PI3K-Akt signaling pathway"	"3558"
"PI3K-Akt signaling pathway"	"3562"
"PI3K-Akt signaling pathway"	"3569"
"PI3K-Akt signaling pathway"	"3565"
"PI3K-Akt signaling pathway"	"3574"
"PI3K-Akt signaling pathway"	"3439"
"PI3K-Akt signaling pathway"	"3440"
"PI3K-Akt signaling pathway"	"3441"
"PI3K-Akt signaling pathway"	"3442"
"PI3K-Akt signaling pathway"	"3443"
"PI3K-Akt signaling pathway"	"3444"
"PI3K-Akt signaling pathway"	"3445"
"PI3K-Akt signaling pathway"	"3446"
"PI3K-Akt signaling pathway"	"3447"
"PI3K-Akt signaling pathway"	"3448"
"PI3K-Akt signaling pathway"	"3449"
"PI3K-Akt signaling pathway"	"3451"
"PI3K-Akt signaling pathway"	"3452"
"PI3K-Akt signaling pathway"	"3456"
"PI3K-Akt signaling pathway"	"2056"
"PI3K-Akt signaling pathway"	"1440"
"PI3K-Akt signaling pathway"	"2690"
"PI3K-Akt signaling pathway"	"5618"
"PI3K-Akt signaling pathway"	"9180"
"PI3K-Akt signaling pathway"	"3559"
"PI3K-Akt signaling pathway"	"3560"
"PI3K-Akt signaling pathway"	"3561"
"PI3K-Akt signaling pathway"	"3563"
"PI3K-Akt signaling pathway"	"3570"
"PI3K-Akt signaling pathway"	"3566"
"PI3K-Akt signaling pathway"	"3575"
"PI3K-Akt signaling pathway"	"3454"
"PI3K-Akt signaling pathway"	"3455"
"PI3K-Akt signaling pathway"	"2057"
"PI3K-Akt signaling pathway"	"1441"
"PI3K-Akt signaling pathway"	"3716"
"PI3K-Akt signaling pathway"	"3717"
"PI3K-Akt signaling pathway"	"3718"
"PI3K-Akt signaling pathway"	"1277"
"PI3K-Akt signaling pathway"	"1278"
"PI3K-Akt signaling pathway"	"1280"
"PI3K-Akt signaling pathway"	"1284"
"PI3K-Akt signaling pathway"	"1286"
"PI3K-Akt signaling pathway"	"1288"
"PI3K-Akt signaling pathway"	"1282"
"PI3K-Akt signaling pathway"	"1287"
"PI3K-Akt signaling pathway"	"1285"
"PI3K-Akt signaling pathway"	"1291"
"PI3K-Akt signaling pathway"	"1292"
"PI3K-Akt signaling pathway"	"1293"
"PI3K-Akt signaling pathway"	"131873"
"PI3K-Akt signaling pathway"	"256076"
"PI3K-Akt signaling pathway"	"1297"
"PI3K-Akt signaling pathway"	"1298"
"PI3K-Akt signaling pathway"	"1299"
"PI3K-Akt signaling pathway"	"284217"
"PI3K-Akt signaling pathway"	"3908"
"PI3K-Akt signaling pathway"	"3909"
"PI3K-Akt signaling pathway"	"3911"
"PI3K-Akt signaling pathway"	"3910"
"PI3K-Akt signaling pathway"	"3912"
"PI3K-Akt signaling pathway"	"3913"
"PI3K-Akt signaling pathway"	"3914"
"PI3K-Akt signaling pathway"	"22798"
"PI3K-Akt signaling pathway"	"3915"
"PI3K-Akt signaling pathway"	"3918"
"PI3K-Akt signaling pathway"	"10319"
"PI3K-Akt signaling pathway"	"1101"
"PI3K-Akt signaling pathway"	"5649"
"PI3K-Akt signaling pathway"	"7057"
"PI3K-Akt signaling pathway"	"1311"
"PI3K-Akt signaling pathway"	"7058"
"PI3K-Akt signaling pathway"	"7059"
"PI3K-Akt signaling pathway"	"7060"
"PI3K-Akt signaling pathway"	"2335"
"PI3K-Akt signaling pathway"	"6696"
"PI3K-Akt signaling pathway"	"7448"
"PI3K-Akt signaling pathway"	"3371"
"PI3K-Akt signaling pathway"	"63923"
"PI3K-Akt signaling pathway"	"7143"
"PI3K-Akt signaling pathway"	"7148"
"PI3K-Akt signaling pathway"	"7450"
"PI3K-Akt signaling pathway"	"3381"
"PI3K-Akt signaling pathway"	"3672"
"PI3K-Akt signaling pathway"	"3673"
"PI3K-Akt signaling pathway"	"3674"
"PI3K-Akt signaling pathway"	"3675"
"PI3K-Akt signaling pathway"	"3676"
"PI3K-Akt signaling pathway"	"3678"
"PI3K-Akt signaling pathway"	"3655"
"PI3K-Akt signaling pathway"	"3679"
"PI3K-Akt signaling pathway"	"8516"
"PI3K-Akt signaling pathway"	"3680"
"PI3K-Akt signaling pathway"	"8515"
"PI3K-Akt signaling pathway"	"22801"
"PI3K-Akt signaling pathway"	"3685"
"PI3K-Akt signaling pathway"	"3688"
"PI3K-Akt signaling pathway"	"3690"
"PI3K-Akt signaling pathway"	"3691"
"PI3K-Akt signaling pathway"	"3693"
"PI3K-Akt signaling pathway"	"3694"
"PI3K-Akt signaling pathway"	"3695"
"PI3K-Akt signaling pathway"	"3696"
"PI3K-Akt signaling pathway"	"5747"
"PI3K-Akt signaling pathway"	"5290"
"PI3K-Akt signaling pathway"	"5293"
"PI3K-Akt signaling pathway"	"5291"
"PI3K-Akt signaling pathway"	"5295"
"PI3K-Akt signaling pathway"	"5296"
"PI3K-Akt signaling pathway"	"8503"
"PI3K-Akt signaling pathway"	"2149"
"PI3K-Akt signaling pathway"	"1128"
"PI3K-Akt signaling pathway"	"1129"
"PI3K-Akt signaling pathway"	"1902"
"PI3K-Akt signaling pathway"	"9170"
"PI3K-Akt signaling pathway"	"23566"
"PI3K-Akt signaling pathway"	"2846"
"PI3K-Akt signaling pathway"	"57121"
"PI3K-Akt signaling pathway"	"10161"
"PI3K-Akt signaling pathway"	"2782"
"PI3K-Akt signaling pathway"	"2783"
"PI3K-Akt signaling pathway"	"2784"
"PI3K-Akt signaling pathway"	"59345"
"PI3K-Akt signaling pathway"	"10681"
"PI3K-Akt signaling pathway"	"54331"
"PI3K-Akt signaling pathway"	"2785"
"PI3K-Akt signaling pathway"	"2786"
"PI3K-Akt signaling pathway"	"2787"
"PI3K-Akt signaling pathway"	"2788"
"PI3K-Akt signaling pathway"	"94235"
"PI3K-Akt signaling pathway"	"2790"
"PI3K-Akt signaling pathway"	"2791"
"PI3K-Akt signaling pathway"	"55970"
"PI3K-Akt signaling pathway"	"51764"
"PI3K-Akt signaling pathway"	"2792"
"PI3K-Akt signaling pathway"	"2793"
"PI3K-Akt signaling pathway"	"5294"
"PI3K-Akt signaling pathway"	"23533"
"PI3K-Akt signaling pathway"	"146850"
"PI3K-Akt signaling pathway"	"5170"
"PI3K-Akt signaling pathway"	"207"
"PI3K-Akt signaling pathway"	"208"
"PI3K-Akt signaling pathway"	"10000"
"PI3K-Akt signaling pathway"	"5728"
"PI3K-Akt signaling pathway"	"117145"
"PI3K-Akt signaling pathway"	"5515"
"PI3K-Akt signaling pathway"	"5516"
"PI3K-Akt signaling pathway"	"5519"
"PI3K-Akt signaling pathway"	"5518"
"PI3K-Akt signaling pathway"	"5520"
"PI3K-Akt signaling pathway"	"5521"
"PI3K-Akt signaling pathway"	"5522"
"PI3K-Akt signaling pathway"	"55844"
"PI3K-Akt signaling pathway"	"28227"
"PI3K-Akt signaling pathway"	"55012"
"PI3K-Akt signaling pathway"	"5523"
"PI3K-Akt signaling pathway"	"5526"
"PI3K-Akt signaling pathway"	"5527"
"PI3K-Akt signaling pathway"	"5528"
"PI3K-Akt signaling pathway"	"5529"
"PI3K-Akt signaling pathway"	"5525"
"PI3K-Akt signaling pathway"	"3320"
"PI3K-Akt signaling pathway"	"3326"
"PI3K-Akt signaling pathway"	"7184"
"PI3K-Akt signaling pathway"	"11140"
"PI3K-Akt signaling pathway"	"200186"
"PI3K-Akt signaling pathway"	"23239"
"PI3K-Akt signaling pathway"	"23035"
"PI3K-Akt signaling pathway"	"8115"
"PI3K-Akt signaling pathway"	"9623"
"PI3K-Akt signaling pathway"	"4515"
"PI3K-Akt signaling pathway"	"1026"
