"group"	"gene"
"MAPK signaling pathway"	"4790"
"MAPK signaling pathway"	"4791"
"MAPK signaling pathway"	"4803"
"MAPK signaling pathway"	"4893"
"MAPK signaling pathway"	"4908"
"MAPK signaling pathway"	"4909"
"MAPK signaling pathway"	"4914"
"MAPK signaling pathway"	"4915"
"MAPK signaling pathway"	"50487"
"MAPK signaling pathway"	"5058"
"MAPK signaling pathway"	"5062"
"MAPK signaling pathway"	"51295"
"MAPK signaling pathway"	"51347"
"MAPK signaling pathway"	"5154"
"MAPK signaling pathway"	"5155"
"MAPK signaling pathway"	"5156"
"MAPK signaling pathway"	"5159"
"MAPK signaling pathway"	"51701"
"MAPK signaling pathway"	"51776"
"MAPK signaling pathway"	"5319"
"MAPK signaling pathway"	"5320"
"MAPK signaling pathway"	"5321"
"MAPK signaling pathway"	"5322"
"MAPK signaling pathway"	"5494"
"MAPK signaling pathway"	"5495"
"MAPK signaling pathway"	"5530"
"MAPK signaling pathway"	"5532"
"MAPK signaling pathway"	"5533"
"MAPK signaling pathway"	"5534"
"MAPK signaling pathway"	"5535"
"MAPK signaling pathway"	"5536"
"MAPK signaling pathway"	"5566"
"MAPK signaling pathway"	"5567"
"MAPK signaling pathway"	"5568"
"MAPK signaling pathway"	"5578"
"MAPK signaling pathway"	"5579"
"MAPK signaling pathway"	"55799"
"MAPK signaling pathway"	"5582"
"MAPK signaling pathway"	"5594"
"MAPK signaling pathway"	"5595"
"MAPK signaling pathway"	"55970"
"MAPK signaling pathway"	"5598"
"MAPK signaling pathway"	"5599"
"MAPK signaling pathway"	"5600"
"MAPK signaling pathway"	"5601"
"MAPK signaling pathway"	"5602"
"MAPK signaling pathway"	"5603"
"MAPK signaling pathway"	"5604"
"MAPK signaling pathway"	"5605"
"MAPK signaling pathway"	"5606"
"MAPK signaling pathway"	"5607"
"MAPK signaling pathway"	"5608"
"MAPK signaling pathway"	"5609"
"MAPK signaling pathway"	"5613"
"MAPK signaling pathway"	"56940"
"MAPK signaling pathway"	"57551"
"MAPK signaling pathway"	"5778"
"MAPK signaling pathway"	"5801"
"MAPK signaling pathway"	"5871"
"MAPK signaling pathway"	"5879"
"MAPK signaling pathway"	"5880"
"MAPK signaling pathway"	"5881"
"MAPK signaling pathway"	"5894"
"MAPK signaling pathway"	"5906"
"MAPK signaling pathway"	"5908"
"MAPK signaling pathway"	"5921"
"MAPK signaling pathway"	"5922"
"MAPK signaling pathway"	"5923"
"MAPK signaling pathway"	"5924"
"MAPK signaling pathway"	"59283"
"MAPK signaling pathway"	"59284"
"MAPK signaling pathway"	"59285"
"MAPK signaling pathway"	"5970"
"MAPK signaling pathway"	"5971"
"MAPK signaling pathway"	"6195"
"MAPK signaling pathway"	"6196"
"MAPK signaling pathway"	"6197"
"MAPK signaling pathway"	"6237"
"MAPK signaling pathway"	"627"
"MAPK signaling pathway"	"6300"
